SCode,StkCode,Quantity,UnitPrice, Cost  ,CustomerID,CardType,Country, IntChg ,Loss ,Gender
G,Baby Wipes ,1,8,8,17819,Silver,India ,2,5,M
H,Baby Wipes ,1,3,3,17819,Gold,India ,1,2,M
H,Food item ,1,3,3,17819,Signature,India ,1,2,M
H,Food item ,1,3,3,17819,Silver,India ,1,1,M
H,Food item ,2,3,7,17819,Gold,India ,2,3,M
H,Food item ,1,4,4,17819,Gold,India ,1,1,M
H,Food item ,1,4,4,17819,Platinum,India ,1,1,M
H,Food item ,3,3,10,17819,Platinum,India ,2,3,M
H,Food item ,2,3,7,17819,Silver,India ,2,3,M
H,Food item ,1,3,3,17819,Gold,India ,1,1,M
H,Food item ,1,3,3,17819,Silver,India ,1,1,M
H,Food item ,2,3,7,17819,Platinum,India ,2,1,M
H,Food item ,1,2,2,14723,Silver,India ,0,3,M
H,Food item ,2,2,3,14723,Silver,India ,1,2,M
H,Food item ,1,3,3,14723,Silver,India ,1,8,M
H,Food item ,4,3,10,14723,Signature,India ,2,1,M
H,Food item ,2,3,5,14723,Signature,India ,1,1,M
H,Food item ,1,4,4,14723,Signature,India ,1,1,M
I,Food item ,1,2,2,14723,Platinum,India ,0,3,M
I,Drinks ,1,4,4,14723,Gold,India ,1,1,M
I,Drinks ,1,14,14,14723,Platinum,India ,3,1,M
I,Drinks ,3,4,13,14723,Platinum,India ,3,1,M
I,Drinks ,1,8,8,14723,Silver,India ,2,1,M
I,Drinks ,5,3,13,14723,Silver,India ,3,1,M
I,Drinks ,3,1,3,14723,Platinum,India ,1,1,M
I,Drinks ,1,1,1,14723,Silver,India ,0,1,M
I,Drinks ,1,1,1,14723,Silver,India ,0,1,M
I,Drinks ,1,4,4,14723,Platinum,India ,1,1,M
I,Drinks ,2,4,8,14723,Gold,India ,2,1,M
I,Drinks ,6,3,20,14723,Signature,India ,5,1,M
I,Drinks ,1,3,3,14723,Platinum,India ,1,1,M
I,Drinks ,1,6,6,14723,Signature,India ,1,1,M
I,Drinks ,1,6,6,14723,Platinum,India ,1,1,M
I,Drinks ,1,2,2,14723,Gold,India ,0,1,M
I,Drinks ,1,2,2,14723,Silver,India ,0,1,M
I,Drinks ,1,1,1,14723,Signature,India ,0,1,M
I,Drinks ,1,3,3,17685,Silver,India ,1,1,M
I,Drinks ,2,1,3,17685,Platinum,India ,1,1,M
J,Drinks ,2,1,2,17685,Platinum,India ,0,1,M
J,Toys ,1,1,1,17855,Signature,India ,0,1,M
J,Toys ,3,1,3,17581,Signature,India ,1,1,M
J,Toys ,2,1,2,17581,Silver,India ,0,1,M
J,Toys ,1,1,1,17581,Silver,India ,0,1,M
J,Toys ,3,3,8,17581,Silver,India ,2,1,M
J,Toys ,10,3,25,17581,Signature,India ,6,2,M
J,Toys ,3,3,8,17581,Silver,India ,2,2,M
J,Toys ,2,1,2,17581,Signature,India ,0,2,M
J,Toys ,8,3,27,17581,Silver,India ,6,2,M
J,Toys ,1,3,3,17581,Silver,India ,1,2,M
J,Toys ,3,3,10,17581,Silver,India ,2,2,M
J,Toys ,1,3,3,17581,Silver,India ,1,2,M
J,Toys ,1,3,3,17581,Gold,India ,1,2,F
J,Toys ,1,3,3,17581,Platinum,India ,1,2,F
J,Toys ,1,3,3,17581,Silver,India ,1,2,F
J,Toys ,2,6,12,17581,Platinum,India ,3,2,F
J,Toys ,12,6,71,17581,Gold,India ,16,2,F
J,Toys ,31,6,183,17581,Silver,India ,42,2,F
J,Toys ,1,3,3,17581,Platinum,India ,1,2,F
J,Toys ,1,3,3,17581,Gold,India ,1,2,F
J,Toys ,1,5,5,17581,Gold,India ,1,2,F
J,Toys ,4,8,30,17581,Signature,India ,7,2,F
J,Toys ,1,3,3,17581,Gold,India ,1,2,F
J,Toys ,1,8,8,17581,Platinum,India ,2,2,F
J,Toys ,1,8,8,17581,Gold,India ,2,2,F
K,Toys ,5,11,55,17581,Signature,India ,13,2,F
K,School Supplies ,4,8,30,17581,Gold,India ,7,2,F
K,School Supplies ,4,8,34,17581,Gold,India ,8,2,F
K,School Supplies ,1,6,6,17581,Platinum,India ,1,2,F
K,School Supplies ,2,3,5,17581,Gold,India ,1,2,F
K,School Supplies ,2,4,8,17581,Signature,India ,2,2,F
K,School Supplies ,2,2,3,17581,Platinum,India ,1,2,F
K,School Supplies ,2,2,3,17581,Silver,India ,1,2,F
K,School Supplies ,2,1,2,17581,Gold,India ,0,2,F
K,School Supplies ,1,1,1,17581,Gold,India ,0,2,F
K,School Supplies ,1,3,3,17581,Gold,India ,1,2,F
K,School Supplies ,3,4,13,17581,Platinum,India ,3,2,F
K,School Supplies ,6,3,20,17581,Signature,India ,5,2,F
K,School Supplies ,6,4,25,17581,Silver,India ,6,2,F
K,School Supplies ,2,3,7,15732,Silver,India ,2,2,F
K,School Supplies ,3,4,13,15732,Gold,India ,3,2,F
K,School Supplies ,1,4,4,15732,Signature,India ,1,2,F
K,School Supplies ,4,2,7,15732,Gold,India ,2,2,F
K,School Supplies ,2,1,2,15732,Signature,India ,0,2,F
K,School Supplies ,2,1,2,13138,Silver,India ,0,2,F
K,School Supplies ,6,1,5,13138,Platinum,India ,1,2,F
K,School Supplies ,2,2,3,13138,Silver,India ,1,2,F
L,School Supplies ,11,1,9,13138,Silver,India ,2,2,F
L,Vitamins ,1,3,3,13138,Gold,India ,1,2,F
L,Vitamins ,1,3,3,13138,Gold,India ,1,2,F
L,Vitamins ,2,11,22,13138,Silver,India ,5,2,F
L,Vitamins ,1,8,8,13138,Signature,India ,2,2,F
L,Vitamins ,1,17,17,13138,Silver,India ,4,2,F
L,Vitamins ,9,3,23,13138,Platinum,India ,5,2,F
L,Vitamins ,1,14,14,13138,Gold,India ,3,2,F
L,Vitamins ,1,6,6,13138,Gold,India ,1,3,F
L,Vitamins ,2,8,17,13138,Signature,India ,4,3,F
K,Vitamins ,1,8,8,13138,Silver,India ,2,3,F
K,Vitamins ,1,8,8,15823,Silver,India ,2,3,F
K,Vitamins ,1,3,3,15823,Signature,India ,1,3,F
K,Vitamins ,8,3,27,15823,Signature,India ,6,3,F
K,Vitamins ,8,2,13,15823,Platinum,India ,3,3,F
K,Vitamins ,25,2,42,15823,Signature,India ,10,3,F
K,Vitamins ,18,3,60,17460,Signature,India ,14,3,F
K,Vitamins ,3,8,25,17567,Gold,India ,6,3,F
K,Vitamins ,3,3,10,17567,Silver,India ,2,3,F
L,Vitamins ,3,4,13,17567,Signature,India ,3,3,F
L,Vitamins ,1,2,2,17567,Gold,India ,0,3,F
L,Vitamins ,1,20,20,17567,Gold,India ,5,3,F
M,Vitamins ,1,10,10,17567,Platinum,India ,2,3,F
M,Laundry Detergent,1,6,6,17567,Gold,India ,1,3,F
M,Laundry Detergent,1,1,1,17567,Platinum,India ,0,3,M
M,Laundry Detergent,1,3,3,17567,Platinum,India ,1,3,M
M,Laundry Detergent,1,2,2,17567,Signature,India ,0,3,M
M,Laundry Detergent,1,2,2,17567,Platinum,India ,0,3,M
M,Laundry Detergent,1,2,2,17567,Signature,India ,0,3,M
M,Laundry Detergent,2,2,3,17567,Signature,India ,1,3,M
M,Laundry Detergent,1,6,6,17567,Gold,India ,1,3,M
M,Laundry Detergent,3,6,18,17567,Platinum,India ,4,3,M
M,Laundry Detergent,2,25,51,17567,Platinum,India ,12,3,M
M,Laundry Detergent,1,3,3,17567,Signature,India ,1,3,M
M,Laundry Detergent,1,3,3,17567,Signature,India ,1,3,M
M,Laundry Detergent,1,5,5,17567,Silver,India ,1,3,M
M,Laundry Detergent,1,3,3,17567,Signature,India ,1,3,M
M,Laundry Detergent,5,6,30,17567,Platinum,India ,7,3,M
M,Laundry Detergent,1,6,6,17567,Signature,India ,1,3,M
M,Laundry Detergent,2,6,12,17567,Platinum,India ,3,3,M
M,Laundry Detergent,2,6,12,17567,Silver,India ,3,3,M
M,Laundry Detergent,1,2,2,17567,Signature,India ,0,3,M
M,Laundry Detergent,1,6,6,17567,Signature,India ,1,3,M
M,Laundry Detergent,2,6,12,17567,Platinum,India ,3,3,M
M,Laundry Detergent,2,3,7,15061,Gold,India ,2,3,M
M,Laundry Detergent,6,1,8,15061,Gold,India ,2,3,M
M,Laundry Detergent,3,1,4,15061,Signature,India ,1,3,M
M,Laundry Detergent,1,1,1,15061,Gold,India ,0,3,M
M,Laundry Detergent,1,3,3,15061,Signature,India ,1,3,M
N,Laundry Detergent,1,2,2,15061,Gold,India ,0,3,M
N,Cloths ,1,2,2,15061,Signature,India ,0,3,M
N,Cloths ,2,2,3,15061,Platinum,India ,1,3,M
N,Cloths ,5,2,8,15061,Platinum,India ,2,3,M
N,Cloths ,1,6,6,15061,Gold,India ,1,3,M
N,Cloths ,2,6,12,15061,Signature,India ,3,3,M
N,Cloths ,1,8,8,15061,Silver,India ,2,3,M
N,Cloths ,1,8,8,15061,Signature,India ,2,3,M
N,Cloths ,4,4,17,15061,Silver,India ,4,3,M
N,Cloths ,1,4,4,15061,Signature,India ,1,4,M
N,Cloths ,2,4,8,15061,Platinum,India ,2,4,M
N,Cloths ,1,4,4,15061,Platinum,India ,1,4,M
N,Cloths ,1,5,5,15061,Gold,India ,1,4,M
N,Cloths ,1,5,5,15061,Gold,India ,1,4,M
N,Cloths ,24,1,30,14130,Silver,India ,7,0,M
N,Cloths ,24,1,30,14130,Silver,India ,7,0,M
N,Cloths ,4,4,15,14130,Silver,India ,3,0,M
N,Cloths ,8,4,30,14130,Gold,India ,7,0,M
N,Cloths ,6,3,20,14130,Gold,India ,4,0,M
N,Cloths ,12,1,17,14130,Gold,India ,4,6,M
N,Cloths ,12,1,17,14130,Platinum,India ,4,6,M
N,Cloths ,12,2,20,14130,Gold,India ,5,6,M
N,Cloths ,12,1,10,14130,Gold,India ,2,0,M
N,Cloths ,12,0,5,14130,Gold,India ,1,0,M
N,Cloths ,12,2,20,14130,Silver,India ,5,0,F
N,Cloths ,6,2,12,14130,Silver,India ,3,3,F
N,Cloths ,4,5,20,14130,Gold,India ,5,4,F
N,Cloths ,4,5,20,14130,Gold,India ,5,4,F
N,Cloths ,12,1,15,14130,Platinum,India ,3,4,F
N,Cloths ,12,2,25,14130,Platinum,India ,6,3,F
N,Cloths ,4,9,34,14130,Platinum,India ,8,3,F
N,Cloths ,12,1,15,14130,Silver,India ,3,9,F
N,Cloths ,12,1,10,14130,Silver,India ,2,9,F
N,Cloths ,12,3,31,14130,Silver,India ,7,9,F
N,Cloths ,12,1,15,14130,Silver,India ,3,9,F
P,Cloths ,12,0,5,14130,Gold,India ,1,8,F
O,Fuel ,25,0,11,14130,Gold,India ,2,10,F
O,Fuel ,25,0,11,14130,Gold,India ,2,0,F
O,Fuel ,25,0,11,14130,Platinum,India ,2,1,F
O,Fuel ,25,0,11,14130,Gold,India ,2,2,F
O,Fuel ,25,0,11,14130,Gold,India ,2,2,F
O,Fuel ,25,0,11,14130,Gold,India ,2,2,F
O,Fuel ,25,0,11,14130,Silver,India ,2,2,F
O,Fuel ,25,0,11,14130,Silver,India ,2,2,F
O,Fuel ,10,2,20,14130,Gold,India ,4,4,F
O,Fuel ,10,2,17,14130,Gold,India ,4,5,F
O,Fuel ,12,4,45,14130,Platinum,India ,10,2,F
O,Fuel ,6,3,20,14130,Platinum,India ,4,0,F
O,Fuel ,12,1,15,14130,Platinum,India ,3,0,F
O,Fuel ,12,1,10,14130,Silver,India ,2,0,F
P,Fuel ,12,2,25,14130,Silver,India ,6,0,F
P,Fuel ,12,2,25,14130,Silver,India ,6,0,F
P,Fuel ,12,2,25,14130,Silver,India ,6,6,F
P,Fuel ,6,3,18,14130,Gold,India ,4,6,F
P,Fuel ,12,2,25,14130,Gold,India ,6,6,F
P,Fuel ,24,1,20,14130,Gold,India ,5,0,F
P,Fuel ,2,13,26,14130,Gold,India ,6,0,F
P,Fuel ,6,3,15,14130,Platinum,India ,4,0,F
P,Fuel ,16,2,27,14130,Platinum,India ,6,3,F
P,Fuel ,25,0,11,14130,Platinum,India ,2,4,F
P,Fuel ,25,0,11,14130,Silver,India ,2,4,F
P,Fuel ,12,1,10,15498,Silver,India ,2,1,M
P,Fuel ,48,0,19,15498,Gold,India ,4,1,M
P,Fuel ,24,0,9,15498,Gold,India ,2,3,M
O,Fuel ,24,1,30,15498,Gold,India ,7,3,M
O,Fuel ,12,1,15,15498,Platinum,India ,3,1,M
O,Fuel ,8,5,37,15498,Gold,India ,9,1,M
O,Fuel ,3,5,15,15498,Gold,India ,3,1,M
O,Fuel ,6,3,18,15498,Gold,India ,4,1,M
O,Fuel ,3,5,16,15498,Silver,India ,4,1,M
O,Fuel ,3,5,16,15498,Silver,India ,4,1,M
O,Fuel ,6,3,18,15498,Gold,India ,4,1,M
O,Fuel ,5,1,4,15052,Gold,India ,1,4,F
O,Fuel ,1,1,1,15052,Gold,India ,0,4,F
O,Fuel ,4,1,5,15052,Gold,India ,1,5,F
O,Fuel ,3,1,4,15052,Platinum,India ,1,5,F
O,Fuel ,2,1,3,15052,Gold,India ,1,5,F
O,Fuel ,2,3,7,15052,Gold,India ,2,5,F
P,Fuel ,5,1,6,15052,Gold,India ,1,5,F
P,Fuel ,2,1,3,15052,Silver,India ,1,5,F
P,Fuel ,4,1,3,15052,Silver,India ,1,5,F
P,Fuel ,2,6,12,15052,Gold,India ,3,5,F
P,Fuel ,2,6,12,15052,Gold,India ,3,5,F
P,Fuel ,12,2,20,15052,Platinum,India ,5,5,F
P,Fuel ,2,3,7,15052,Platinum,India ,2,5,F
P,Fuel ,1,3,3,15052,Platinum,India ,1,5,F
Q,Fuel ,1,2,2,15052,Silver,India ,0,5,F
Q,Day Care ,5,5,25,15052,Silver,India ,6,5,F
Q,Day Care ,5,2,8,15052,Silver,India ,2,5,F
Q,Day Care ,2,2,3,15052,Silver,India ,1,5,F
Q,Day Care ,2,2,5,15052,Gold,India ,1,5,F
Q,Day Care ,3,4,12,15052,Gold,India ,3,5,F
Q,Day Care ,4,4,17,15052,Gold,India ,4,5,F
Q,Day Care ,1,4,4,15052,Platinum,India ,1,5,F
Q,Day Care ,8,2,13,17001,Gold,India ,3,5,F
Q,Day Care ,5,2,8,17001,Gold,India ,2,5,F
Q,Day Care ,3,4,12,17001,Gold,India ,3,5,F
Q,Day Care ,2,4,8,17001,Silver,India ,2,5,F
Q,Day Care ,14,2,29,17001,Silver,India ,7,5,F
Q,Day Care ,2,2,5,17001,Gold,India ,1,5,F
Q,Day Care ,1,2,2,17001,Gold,India ,1,5,F
Q,Day Care ,1,2,2,17001,Platinum,India ,1,5,F
Q,Day Care ,2,6,12,17001,Platinum,India ,3,5,F
Q,Day Care ,1,2,2,17001,Platinum,India ,0,5,F
Q,Day Care ,1,1,1,17001,Silver,India ,0,5,F
Q,Day Care ,2,25,50,17001,Silver,India ,11,5,F
Q,Day Care ,1,4,4,17001,Silver,India ,1,5,F
Q,Day Care ,1,4,4,17001,Silver,India ,1,5,F
Q,Day Care ,1,1,1,17001,Gold,India ,0,5,F
Q,Day Care ,1,1,1,17001,Gold,India ,0,5,F
Q,Day Care ,2,2,5,17001,Gold,India ,1,5,F
Q,Day Care ,2,4,8,17001,Platinum,India ,2,5,F
Q,Day Care ,1,3,3,17001,Gold,India ,1,5,F
Q,Day Care ,1,1,1,17001,Gold,India ,0,5,F
Q,Day Care ,1,3,3,14130,Gold,India ,1,5,F
Q,Day Care ,2,2,5,14130,Silver,India ,1,5,F
Q,Day Care ,4,5,20,14130,Silver,India ,5,5,F
Q,Day Care ,7,5,35,14130,Gold,India ,8,5,F
Q,Day Care ,1,21,21,14130,Gold,India ,5,5,F
Q,Day Care ,3,17,50,14130,Platinum,India ,11,5,F
Q,Day Care ,1,1,1,14130,Platinum,India ,0,5,F
Q,Day Care ,1,1,1,14130,Platinum,India ,0,5,F
Q,Day Care ,1,3,3,14130,Silver,India ,1,5,F
Q,Day Care ,1,7,7,14130,Silver,India ,2,5,F
Q,Day Care ,1,3,3,14130,Silver,India ,1,6,F
Q,Day Care ,1,2,2,14130,Silver,India ,1,6,F
Q,Day Care ,1,17,17,14130,Gold,India ,4,6,F
Q,Day Care ,18,0,8,14130,Gold,India ,2,6,F
Q,Day Care ,8,0,3,14130,Gold,India ,1,6,F
Q,Day Care ,1,2,2,14130,Platinum,India ,1,6,F
Q,Day Care ,13,4,54,14130,Gold,India ,12,6,F
Q,Day Care ,1,4,4,14130,Gold,India ,1,6,F
Q,Day Care ,2,1,2,14130,Gold,India ,0,6,F
Q,Day Care ,11,2,18,14130,Silver,India ,4,6,F
Q,Day Care ,2,2,3,14130,Silver,India ,1,6,F
Q,Day Care ,7,2,17,14130,Gold,India ,4,6,F
Q,Day Care ,1,4,4,14130,Gold,India ,1,6,F
Q,Day Care ,1,6,6,14130,Platinum,India ,1,6,F
Q,Day Care ,8,0,3,14130,Platinum,India ,1,6,F
Q,Day Care ,11,0,5,14130,Silver,India ,1,6,F
Q,Day Care ,27,0,11,14130,Silver,India ,3,6,F
Q,Day Care ,2,14,28,14130,Silver,India ,7,6,F
Q,Day Care ,1,2,2,14130,Silver,India ,0,6,F
Q,Day Care ,1,4,4,14130,Gold,India ,1,6,F
Q,Day Care ,1,4,4,14130,Gold,India ,1,6,F
Q,Day Care ,1,4,4,14130,Gold,India ,1,6,F
Q,Day Care ,1,4,4,14130,Gold,India ,1,6,F
Q,Day Care ,1,4,4,14130,Platinum,India ,1,6,F
Q,Day Care ,1,20,20,14130,Platinum,India ,5,6,F
Q,Day Care ,3,1,2,14130,Platinum,India ,1,6,F
Q,Day Care ,2,3,7,14130,Silver,India ,2,6,F
Q,Day Care ,1,3,3,14130,Silver,India ,1,6,F
Q,Day Care ,2,2,3,14130,Silver,India ,1,6,F
Q,Day Care ,1,12,12,14130,Silver,India ,3,6,F
Q,Day Care ,1,4,4,14130,Gold,India ,1,6,F
Q,Day Care ,3,2,7,14130,Gold,India ,2,7,F
Q,Day Care ,2,2,5,14130,Gold,India ,1,7,F
Q,Day Care ,4,3,13,14130,Platinum,India ,3,7,M
Q,Day Care ,1,2,2,14130,Gold,India ,0,7,M
Q,Day Care ,1,2,2,14130,Gold,India ,0,7,M
Q,Day Care ,1,3,3,14130,Gold,India ,1,7,M
Q,Day Care ,1,3,3,14130,Silver,India ,1,7,M
Q,Day Care ,1,3,3,15222,Silver,India ,1,7,M
Q,Day Care ,3,1,2,15222,Gold,India ,1,7,M
Q,Day Care ,1,1,1,15222,Gold,India ,0,7,M
Q,Day Care ,1,1,1,15222,Platinum,India ,0,7,M
Q,Day Care ,1,2,2,15222,Platinum,India ,1,7,M
Q,Day Care ,3,4,12,13615,Platinum,India ,3,7,F
Q,Entertainment ,1,2,2,13615,Silver,India ,1,7,F
Q,Entertainment ,4,2,10,13615,Silver,India ,2,7,F
Q,Entertainment ,1,2,2,13615,Silver,India ,1,7,F
Q,Entertainment ,1,2,2,13615,Silver,India ,1,7,F
Q,Entertainment ,1,2,2,13615,Gold,India ,0,7,M
Q,Entertainment ,1,4,4,18532,Silver,India ,1,7,M
Q,Entertainment ,8,2,17,18532,Silver,India ,4,5,M
Q,Entertainment ,7,2,15,18532,Silver,India ,3,4,F
Q,Entertainment ,2,2,3,18532,Silver,India ,1,4,F
Q,Entertainment ,1,4,4,18532,Gold,India ,1,4,F
Q,Entertainment ,1,2,2,18532,Gold,India ,1,4,F
Q,Entertainment ,1,8,8,18532,Gold,India ,2,4,M
Q,Entertainment ,1,11,11,18532,Platinum,India ,2,4,M
Q,Entertainment ,1,2,2,18532,Gold,India ,1,1,M
Q,Entertainment ,2,14,28,18532,Gold,India ,7,2,M
Q,Entertainment ,1,2,2,18532,Gold,India ,1,2,M
Q,Entertainment ,2,2,3,18532,Silver,India ,1,2,M
Q,Entertainment ,1,16,16,18532,Silver,India ,4,2,M
Q,Entertainment ,3,11,32,18532,Gold,India ,7,2,M
Q,Entertainment ,2,3,7,18532,Gold,India ,2,2,M
Q,Entertainment ,3,1,2,18532,Gold,India ,1,1,F
Q,Entertainment ,1,1,1,18532,Platinum,India ,0,2,F
Q,Entertainment ,3,1,2,18532,Gold,India ,1,3,F
Q,Entertainment ,9,2,15,18532,Gold,India ,3,4,F
Q,Entertainment ,2,2,3,18532,Gold,India ,1,5,F
Q,Entertainment ,18,1,17,18532,Silver,India ,4,5,F
Q,Entertainment ,18,1,12,18532,Silver,India ,3,4,F
Q,Entertainment ,2,2,4,18532,Gold,India ,1,5,F
Q,Entertainment ,6,1,6,18532,Gold,India ,1,2,F
Q,Entertainment ,1,3,3,18532,Platinum,India ,1,2,F
Q,Entertainment ,4,1,6,18532,Platinum,India ,1,1,F
Q,Entertainment ,1,3,3,18532,Platinum,India ,1,3,F
Q,Entertainment ,1,2,2,18532,Silver,India ,1,1,F
Q,Entertainment ,1,2,2,18532,Silver,India ,1,1,F
Q,Entertainment ,1,4,4,18532,Silver,India ,1,3,F
Q,Entertainment ,1,1,1,18532,Silver,India ,0,3,F
Q,Entertainment ,4,4,17,18532,Gold,India ,4,1,F
Q,Entertainment ,18,1,15,18532,Gold,India ,3,1,F
Q,Entertainment ,2,1,2,18532,Gold,India ,0,1,F
Q,Entertainment ,1,8,8,18532,Platinum,India ,2,3,F
